Existing URL,Planned production URL,Preview URL,Action
https://www.homebuyerswi.com/,https://www.homebuyerswi.com/,https://andrewpcherry.github.io/homebuyerswi-funnel/,Keep existing path
https://www.homebuyerswi.com/blog/,https://www.homebuyerswi.com/blog/,https://andrewpcherry.github.io/homebuyerswi-funnel/blog/,Keep existing path
https://www.homebuyerswi.com/sell-your-house/,https://www.homebuyerswi.com/sell-your-house/,https://andrewpcherry.github.io/homebuyerswi-funnel/sell-your-house/,Keep existing path
https://www.homebuyerswi.com/testimonials/,https://www.homebuyerswi.com/testimonials/,https://andrewpcherry.github.io/homebuyerswi-funnel/testimonials/,Keep existing path
https://www.homebuyerswi.com/our-company/,https://www.homebuyerswi.com/our-company/,https://andrewpcherry.github.io/homebuyerswi-funnel/our-company/,Keep existing path
https://www.homebuyerswi.com/contact-us/,https://www.homebuyerswi.com/contact-us/,https://andrewpcherry.github.io/homebuyerswi-funnel/contact-us/,Keep existing path
https://www.homebuyerswi.com/resource-page/,https://www.homebuyerswi.com/resource-page/,https://andrewpcherry.github.io/homebuyerswi-funnel/resource-page/,Keep existing path
https://www.homebuyerswi.com/avoiding-foreclosure/,https://www.homebuyerswi.com/avoiding-foreclosure/,https://andrewpcherry.github.io/homebuyerswi-funnel/avoiding-foreclosure/,Keep existing path
https://www.homebuyerswi.com/thank-you/,https://www.homebuyerswi.com/thank-you/,https://andrewpcherry.github.io/homebuyerswi-funnel/thank-you/,Keep existing path
https://www.homebuyerswi.com/faq/,https://www.homebuyerswi.com/faq/,https://andrewpcherry.github.io/homebuyerswi-funnel/faq/,Keep existing path
https://www.homebuyerswi.com/how-we-buy-houses/,https://www.homebuyerswi.com/how-we-buy-houses/,https://andrewpcherry.github.io/homebuyerswi-funnel/how-we-buy-houses/,Keep existing path
https://www.homebuyerswi.com/get-a-cash-offer-today/,https://www.homebuyerswi.com/get-a-cash-offer-today/,https://andrewpcherry.github.io/homebuyerswi-funnel/get-a-cash-offer-today/,Keep existing path
https://www.homebuyerswi.com/privacy/,https://www.homebuyerswi.com/privacy/,https://andrewpcherry.github.io/homebuyerswi-funnel/privacy/,Keep existing path
https://www.homebuyerswi.com/compare/,https://www.homebuyerswi.com/compare/,https://andrewpcherry.github.io/homebuyerswi-funnel/compare/,Keep existing path
https://www.homebuyerswi.com/we-buy-houses-waukesha-wi/,https://www.homebuyerswi.com/we-buy-houses-waukesha-wi/,https://andrewpcherry.github.io/homebuyerswi-funnel/we-buy-houses-waukesha-wi/,Keep existing path
https://www.homebuyerswi.com/we-buy-houses-racine-wi/,https://www.homebuyerswi.com/we-buy-houses-racine-wi/,https://andrewpcherry.github.io/homebuyerswi-funnel/we-buy-houses-racine-wi/,Keep existing path
https://www.homebuyerswi.com/we-buy-houses-wauwatosa-wi/,https://www.homebuyerswi.com/we-buy-houses-wauwatosa-wi/,https://andrewpcherry.github.io/homebuyerswi-funnel/we-buy-houses-wauwatosa-wi/,Keep existing path
https://www.homebuyerswi.com/we-buy-houses-new-berlin-wi/,https://www.homebuyerswi.com/we-buy-houses-new-berlin-wi/,https://andrewpcherry.github.io/homebuyerswi-funnel/we-buy-houses-new-berlin-wi/,Keep existing path
https://www.homebuyerswi.com/1283-2/,https://www.homebuyerswi.com/1283-2/,https://andrewpcherry.github.io/homebuyerswi-funnel/1283-2/,Keep existing path
https://www.homebuyerswi.com/selling-an-inherited-property-wisconsin/,https://www.homebuyerswi.com/selling-an-inherited-property-wisconsin/,https://andrewpcherry.github.io/homebuyerswi-funnel/selling-an-inherited-property-wisconsin/,Keep existing path
https://www.homebuyerswi.com/can-i-sell-my-house-in-foreclosure-in-wisconsin/,https://www.homebuyerswi.com/can-i-sell-my-house-in-foreclosure-in-wisconsin/,https://andrewpcherry.github.io/homebuyerswi-funnel/can-i-sell-my-house-in-foreclosure-in-wisconsin/,Keep existing path
https://www.homebuyerswi.com/we-buy-houses-greenfield-wi/,https://www.homebuyerswi.com/we-buy-houses-greenfield-wi/,https://andrewpcherry.github.io/homebuyerswi-funnel/we-buy-houses-greenfield-wi/,Keep existing path
